"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\piete\Source\repos\Pansiep\src\creep\helper.ts", "TypeScript", 10, 0, 2, 12
"c:\Users\piete\Source\repos\Pansiep\src\creep\loop.ts", "TypeScript", 21, 0, 6, 27
"c:\Users\piete\Source\repos\Pansiep\src\main.spec.ts", "TypeScript", 23, 0, 6, 29
"c:\Users\piete\Source\repos\Pansiep\src\main.ts", "TypeScript", 14, 4, 3, 21
"c:\Users\piete\Source\repos\Pansiep\src\memory\garbageCollection.spec.ts", "TypeScript", 60, 0, 8, 68
"c:\Users\piete\Source\repos\Pansiep\src\memory\garbageCollection.ts", "TypeScript", 59, 0, 9, 68
"c:\Users\piete\Source\repos\Pansiep\src\memory\initialization.spec.ts", "TypeScript", 57, 0, 15, 72
"c:\Users\piete\Source\repos\Pansiep\src\memory\initialization.ts", "TypeScript", 137, 3, 11, 151
"c:\Users\piete\Source\repos\Pansiep\src\memory\stats.ts", "TypeScript", 121, 0, 21, 142
"c:\Users\piete\Source\repos\Pansiep\src\memory\updateCache.spec.ts", "TypeScript", 18, 0, 3, 21
"c:\Users\piete\Source\repos\Pansiep\src\memory\updateCache.ts", "TypeScript", 162, 0, 23, 185
"c:\Users\piete\Source\repos\Pansiep\src\room\helper.ts", "TypeScript", 35, 0, 6, 41
"c:\Users\piete\Source\repos\Pansiep\src\room\loop.ts", "TypeScript", 25, 0, 6, 31
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals.ts", "TypeScript", 242, 0, 22, 264
"c:\Users\piete\Source\repos\Pansiep\src\structure\helper.ts", "TypeScript", 10, 0, 2, 12
"c:\Users\piete\Source\repos\Pansiep\src\structure\loop.ts", "TypeScript", 21, 0, 6, 27
"c:\Users\piete\Source\repos\Pansiep\src\types.d.ts", "TypeScript", 63, 1, 14, 78
"c:\Users\piete\Source\repos\Pansiep\src\utils\config\config.spec.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\piete\Source\repos\Pansiep\src\utils\config\creep.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\piete\Source\repos\Pansiep\src\utils\config\global.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\piete\Source\repos\Pansiep\src\utils\config\room.ts", "TypeScript", 2, 1, 2, 5
"c:\Users\piete\Source\repos\Pansiep\src\utils\config\structure.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\piete\Source\repos\Pansiep\src\utils\consoleCommands.spec.ts", "TypeScript", 41, 1, 11, 53
"c:\Users\piete\Source\repos\Pansiep\src\utils\consoleCommands.ts", "TypeScript", 89, 44, 18, 151
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\constants.spec.ts", "TypeScript", 6, 0, 2, 8
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\creep.ts", "TypeScript", 1, 0, 1, 2
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\global.ts", "TypeScript", 16, 1, 10, 27
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\room.ts", "TypeScript", 6, 1, 1, 8
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\structure.ts", "TypeScript", 12, 1, 1, 14
"c:\Users\piete\Source\repos\Pansiep\src\utils\external\packrat.ts", "TypeScript", 201, 176, 33, 410
"c:\Users\piete\Source\repos\Pansiep\src\utils\logger.spec.ts", "TypeScript", 33, 20, 10, 63
"c:\Users\piete\Source\repos\Pansiep\src\utils\logger.ts", "TypeScript", 112, 2, 8, 122
"c:\Users\piete\Source\repos\Pansiep\src\utils\wrapper.ts", "TypeScript", 32, 7, 4, 43
"Total", "-", 1642, 262, 270, 2174
